user_friendliness_score,ecosystem_score,integration_count,api_available,pricing_model,marketing_effort_score,enterprise_features,retention_proxy,success_label
7.2,7.3,10,True,subscription,5.2,False,0.73,1
5.8,5.1,3,True,free,6.6,True,0.45,0
5.4,4.7,3,True,usage_based,1.2,False,0.61,1
5.6,4.8,1,True,freemium,4.9,False,0.59,1
6.8,4.0,2,True,free,7.3,False,0.37,0
5.5,8.1,10,True,enterprise,6.7,True,0.62,1
7.7,5.9,12,True,enterprise,8.2,False,0.59,1
5.9,3.2,0,True,usage_based,5.4,True,0.48,0
5.3,7.8,6,True,freemium,4.5,True,0.63,1
5.9,6.6,4,True,usage_based,2.6,False,0.65,1
6.8,4.1,0,True,enterprise,1.5,True,0.67,1
6.6,5.6,9,False,usage_based,10.0,True,0.45,0
8.6,4.2,3,True,free,8.3,False,0.51,0
7.5,7.1,2,False,enterprise,3.1,False,0.66,1
7.7,6.5,10,False,free,3.0,False,0.76,0
6.9,4.6,3,True,free,6.2,False,0.52,0
8.1,7.5,7,False,subscription,8.2,True,0.57,1
4.4,7.8,6,True,subscription,4.0,False,0.58,1
4.9,5.6,5,False,subscription,6.5,True,0.49,0
8.1,4.1,13,False,freemium,4.8,False,0.54,0
6.6,6.7,2,False,usage_based,3.2,False,0.68,1
6.5,8.9,6,True,enterprise,7.2,True,0.64,1
5.8,10.0,10,True,freemium,5.7,False,0.6,1
7.3,10.0,7,False,subscription,3.0,True,0.91,1
5.3,7.0,0,False,subscription,5.3,True,0.6,1
9.7,3.0,9,True,usage_based,7.6,False,0.49,0
4.6,2.0,4,True,freemium,5.3,False,0.27,0
5.0,6.4,8,False,enterprise,6.4,False,0.47,0
7.5,6.9,3,True,subscription,5.6,False,0.63,0
5.6,7.9,9,False,usage_based,4.8,False,0.69,1
6.5,8.6,10,False,freemium,5.7,True,0.63,1
6.5,5.0,5,False,free,7.4,False,0.52,0
3.8,8.4,5,True,usage_based,4.6,False,0.51,0
5.3,6.8,6,False,free,4.9,True,0.53,0
4.3,4.6,5,True,subscription,2.7,True,0.48,0
5.5,8.5,2,True,freemium,5.4,False,0.66,1
6.8,6.2,9,False,subscription,5.5,False,0.54,0
6.3,3.1,0,False,free,7.5,False,0.43,0
7.0,7.9,11,False,freemium,9.3,False,0.54,0
8.3,2.6,10,True,enterprise,4.6,True,0.59,1
6.9,9.0,0,False,subscription,6.1,False,0.7,1
7.6,2.9,6,False,subscription,3.3,False,0.6,1
8.0,4.0,9,True,freemium,5.8,True,0.52,0
8.1,3.6,11,False,usage_based,2.0,False,0.52,0
3.9,6.8,5,True,freemium,5.4,True,0.49,0
7.0,5.0,8,True,subscription,3.6,True,0.54,0
5.3,3.1,6,False,freemium,4.4,True,0.42,0
6.3,7.2,4,True,subscription,5.1,False,0.65,1
7.4,10.0,6,True,enterprise,6.1,True,0.8,1
4.9,4.5,8,True,freemium,4.2,False,0.45,0
8.8,3.9,9,False,enterprise,6.6,True,0.53,0
5.5,4.8,2,False,freemium,4.5,True,0.46,0
7.1,6.5,9,True,free,5.3,False,0.62,1
5.7,6.6,0,True,subscription,3.5,False,0.46,0
6.3,4.8,15,True,subscription,4.7,False,0.56,1
7.1,6.2,4,True,freemium,4.3,True,0.61,1
7.3,1.6,1,True,freemium,7.6,False,0.38,0
4.1,5.5,7,False,free,5.5,True,0.49,0
7.0,7.3,2,False,usage_based,4.7,True,0.77,1
8.8,5.3,2,True,free,6.3,True,0.65,1
7.9,8.8,11,False,subscription,7.4,True,0.73,1
6.8,5.6,8,False,freemium,10.0,True,0.45,0
9.3,9.2,5,False,usage_based,8.2,True,0.71,1
10.0,4.8,0,True,freemium,6.5,True,0.62,1
6.0,5.5,5,False,free,8.8,False,0.36,0
6.1,10.0,5,True,free,3.3,True,0.76,1
10.0,8.8,6,False,usage_based,3.3,False,0.74,1
4.4,3.8,6,True,free,3.9,False,0.52,0
5.7,3.6,7,False,usage_based,6.5,True,0.44,0
7.4,6.7,10,True,usage_based,4.9,False,0.58,1
7.6,8.5,7,True,freemium,2.7,False,0.67,1
6.0,10.0,7,True,enterprise,8.2,True,0.67,1
4.1,10.0,9,False,subscription,6.6,True,0.63,1
